District,Year,Offence Group,Total Number of Offences,Total Employed,Total Persons,Unemployed,Unemployment Rate (%)
Kimberley District,16,Stealing From Other Premises or Place,0.0,47019.0,51852.0,4833.0,10.28
Kimberley District,16,Stealing From Retail Premises (Shoplift),0.0,47019.0,51852.0,4833.0,10.28
Kimberley District,16,Stealing as a Servant,9.0,47019.0,51852.0,4833.0,10.28
Kimberley District,16,Stealing of Motor Vehicle,425.0,47019.0,51852.0,4833.0,10.28
Kimberley District,16,Threatening Behaviour (Family),194.0,47019.0,51852.0,4833.0,10.28
Kimberley District,16,Threatening Behaviour (Non-Family),45.0,47019.0,51852.0,4833.0,10.28
Mandurah District,16,Assault Police Officer,71.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Attempted / Conspiracy to Murder,3.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Breach of Family Violence Restraint Order,996.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Breach of Police Order,218.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Breach of Violence Restraint Order,151.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Burglary (Dwelling),3155.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Burglary (Non-Dwelling),880.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Cause Bushfire,18.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Cause Damage by Fire,99.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Common Assault (Family),2165.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Common Assault (Non-Family),743.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Criminal Damage,700.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Cultivate or Manufacture Drugs,95.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Damage,3030.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Deprivation of Liberty,27.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Driving Causing Death,3.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Drug Dealing,274.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Drug Possession,1518.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Forgery,21.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Fraud (Credit Card),0.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Fraud (Not Elsewhere Classified),1607.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Graffiti,240.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Kidnapping / Child Stealing,1.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Manslaughter,2.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Murder,3.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Non-Assaultive Sexual Offences,130.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Other Drug Offences,8.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Other Fire Related Offences,8.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Possess Stolen Property,326.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Possess Weapon to Cause Fear (Family),96.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Possess Weapon to Cause Fear (Non-Family),218.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Possession of Drug Paraphernalia,1061.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Receiving Stolen Property,50.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Regulated Weapons Offences,551.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Robbery (Business),35.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Robbery (Non-Business),155.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Serious Assault (Family),323.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Serious Assault (Non-Family),373.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Sexual Assault,502.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Stealing (Not Elsewhere Classified),9222.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Stealing From Dwelling,0.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Stealing From Motor Vehicle (Contents or Parts),0.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Stealing From Other Premises or Place,0.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Stealing From Retail Premises (Shoplift),0.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Stealing as a Servant,24.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Stealing of Motor Vehicle,1001.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Threatening Behaviour (Family),321.0,364681.0,409526.0,44845.0,12.3
Mandurah District,16,Threatening Behaviour (Non-Family),190.0,364681.0,409526.0,44845.0,12.3
Metropolitan Region,16,Assault Police Officer,612.0,,,,
Metropolitan Region,16,Attempted / Conspiracy to Murder,17.0,,,,
Metropolitan Region,16,Breach of Family Violence Restraint Order,5521.0,,,,
Metropolitan Region,16,Breach of Police Order,1558.0,,,,
Metropolitan Region,16,Breach of Violence Restraint Order,898.0,,,,
Metropolitan Region,16,Burglary (Dwelling),21583.0,,,,
Metropolitan Region,16,Burglary (Non-Dwelling),6601.0,,,,
Metropolitan Region,16,Cause Bushfire,68.0,,,,
Metropolitan Region,16,Cause Damage by Fire,625.0,,,,
Metropolitan Region,16,Common Assault (Family),11823.0,,,,
Metropolitan Region,16,Common Assault (Non-Family),5308.0,,,,
Metropolitan Region,16,Criminal Damage,4848.0,,,,
Metropolitan Region,16,Cultivate or Manufacture Drugs,479.0,,,,
Metropolitan Region,16,Damage,20002.0,,,,
Metropolitan Region,16,Deprivation of Liberty,213.0,,,,
Metropolitan Region,16,Driving Causing Death,12.0,,,,
Metropolitan Region,16,Drug Dealing,2457.0,,,,
Metropolitan Region,16,Drug Possession,13004.0,,,,
Metropolitan Region,16,Forgery,153.0,,,,
Metropolitan Region,16,Fraud (Credit Card),0.0,,,,
Metropolitan Region,16,Fraud (Not Elsewhere Classified),13370.0,,,,
Metropolitan Region,16,Graffiti,1506.0,,,,
Metropolitan Region,16,Kidnapping / Child Stealing,23.0,,,,
Metropolitan Region,16,Manslaughter,10.0,,,,
Metropolitan Region,16,Murder,29.0,,,,
Metropolitan Region,16,Non-Assaultive Sexual Offences,1068.0,,,,
Metropolitan Region,16,Other Drug Offences,99.0,,,,
Metropolitan Region,16,Other Fire Related Offences,30.0,,,,
Metropolitan Region,16,Possess Stolen Property,3755.0,,,,
Metropolitan Region,16,Possess Weapon to Cause Fear (Family),478.0,,,,
Metropolitan Region,16,Possess Weapon to Cause Fear (Non-Family),1462.0,,,,
Metropolitan Region,16,Possession of Drug Paraphernalia,8662.0,,,,
Metropolitan Region,16,Receiving Stolen Property,431.0,,,,
Metropolitan Region,16,Regulated Weapons Offences,3700.0,,,,
Metropolitan Region,16,Robbery (Business),181.0,,,,
Metropolitan Region,16,Robbery (Non-Business),1052.0,,,,
Metropolitan Region,16,Serious Assault (Family),1899.0,,,,
Metropolitan Region,16,Serious Assault (Non-Family),2812.0,,,,
Metropolitan Region,16,Sexual Assault,2989.0,,,,
Metropolitan Region,16,Stealing (Not Elsewhere Classified),73045.0,,,,
Metropolitan Region,16,Stealing From Dwelling,0.0,,,,
Metropolitan Region,16,Stealing From Motor Vehicle (Contents or Parts),0.0,,,,
Metropolitan Region,16,Stealing From Other Premises or Place,0.0,,,,
Metropolitan Region,16,Stealing From Retail Premises (Shoplift),0.0,,,,
Metropolitan Region,16,Stealing as a Servant,181.0,,,,
Metropolitan Region,16,Stealing of Motor Vehicle,6717.0,,,,
Metropolitan Region,16,Threatening Behaviour (Family),1792.0,,,,
Metropolitan Region,16,Threatening Behaviour (Non-Family),1220.0,,,,
Mid West-Gascoyne District,16,Assault Police Officer,39.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Attempted / Conspiracy to Murder,2.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Breach of Family Violence Restraint Order,588.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Breach of Police Order,149.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Breach of Violence Restraint Order,74.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Burglary (Dwelling),1308.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Burglary (Non-Dwelling),531.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Cause Bushfire,5.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Cause Damage by Fire,30.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Common Assault (Family),757.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Common Assault (Non-Family),259.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Criminal Damage,375.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Cultivate or Manufacture Drugs,49.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Damage,1431.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Deprivation of Liberty,7.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Driving Causing Death,3.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Drug Dealing,149.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Drug Possession,783.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Forgery,2.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Fraud (Credit Card),0.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Fraud (Not Elsewhere Classified),479.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Graffiti,66.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Kidnapping / Child Stealing,0.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Manslaughter,0.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Murder,0.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Non-Assaultive Sexual Offences,41.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Other Drug Offences,13.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Other Fire Related Offences,1.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Possess Stolen Property,72.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Possess Weapon to Cause Fear (Family),30.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Possess Weapon to Cause Fear (Non-Family),74.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Possession of Drug Paraphernalia,687.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Receiving Stolen Property,16.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Regulated Weapons Offences,194.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Robbery (Business),5.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Robbery (Non-Business),25.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Serious Assault (Family),219.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Serious Assault (Non-Family),177.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Sexual Assault,130.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Stealing (Not Elsewhere Classified),2431.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Stealing From Dwelling,0.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Stealing From Motor Vehicle (Contents or Parts),0.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Stealing From Other Premises or Place,0.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Stealing From Retail Premises (Shoplift),0.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Stealing as a Servant,7.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Stealing of Motor Vehicle,246.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Threatening Behaviour (Family),78.0,86739.0,94658.0,7919.0,9.13
Mid West-Gascoyne District,16,Threatening Behaviour (Non-Family),49.0,86739.0,94658.0,7919.0,9.13
Midland District,16,Assault Police Officer,67.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Attempted / Conspiracy to Murder,3.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Breach of Family Violence Restraint Order,691.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Breach of Police Order,303.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Breach of Violence Restraint Order,96.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Burglary (Dwelling),2540.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Burglary (Non-Dwelling),774.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Cause Bushfire,28.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Cause Damage by Fire,98.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Common Assault (Family),1811.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Common Assault (Non-Family),689.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Criminal Damage,627.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Cultivate or Manufacture Drugs,67.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Damage,2509.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Deprivation of Liberty,40.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Driving Causing Death,2.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Drug Dealing,242.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Drug Possession,1448.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Forgery,10.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Fraud (Credit Card),0.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Fraud (Not Elsewhere Classified),1478.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Graffiti,162.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Kidnapping / Child Stealing,3.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Manslaughter,1.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Murder,4.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Non-Assaultive Sexual Offences,75.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Other Drug Offences,10.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Other Fire Related Offences,6.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Possess Stolen Property,373.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Possess Weapon to Cause Fear (Family),89.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Possess Weapon to Cause Fear (Non-Family),180.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Possession of Drug Paraphernalia,1032.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Receiving Stolen Property,55.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Regulated Weapons Offences,476.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Robbery (Business),15.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Robbery (Non-Business),107.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Serious Assault (Family),281.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Serious Assault (Non-Family),323.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Sexual Assault,426.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Stealing (Not Elsewhere Classified),7009.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Stealing From Dwelling,0.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Stealing From Motor Vehicle (Contents or Parts),0.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Stealing From Other Premises or Place,0.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Stealing From Retail Premises (Shoplift),0.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Stealing as a Servant,34.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Stealing of Motor Vehicle,743.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Threatening Behaviour (Family),315.0,418225.0,452303.0,34078.0,8.15
Midland District,16,Threatening Behaviour (Non-Family),167.0,418225.0,452303.0,34078.0,8.15
Mirrabooka District,16,Assault Police Officer,73.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Attempted / Conspiracy to Murder,3.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Breach of Family Violence Restraint Order,633.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Breach of Police Order,233.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Breach of Violence Restraint Order,86.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Burglary (Dwelling),3198.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Burglary (Non-Dwelling),678.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Cause Bushfire,3.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Cause Damage by Fire,78.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Common Assault (Family),1613.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Common Assault (Non-Family),572.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Criminal Damage,553.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Cultivate or Manufacture Drugs,59.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Damage,2858.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Deprivation of Liberty,27.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Driving Causing Death,0.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Drug Dealing,272.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Drug Possession,1766.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Forgery,27.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Fraud (Credit Card),0.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Fraud (Not Elsewhere Classified),1791.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Graffiti,179.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Kidnapping / Child Stealing,1.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Manslaughter,0.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Murder,5.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Non-Assaultive Sexual Offences,93.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Other Drug Offences,13.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Other Fire Related Offences,1.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Possess Stolen Property,462.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Possess Weapon to Cause Fear (Family),58.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Possess Weapon to Cause Fear (Non-Family),147.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Possession of Drug Paraphernalia,1130.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Receiving Stolen Property,44.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Regulated Weapons Offences,412.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Robbery (Business),23.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Robbery (Non-Business),107.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Serious Assault (Family),240.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Serious Assault (Non-Family),244.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Sexual Assault,366.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Stealing (Not Elsewhere Classified),9518.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Stealing From Dwelling,0.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Stealing From Motor Vehicle (Contents or Parts),0.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Stealing From Other Premises or Place,0.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Stealing From Retail Premises (Shoplift),0.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Stealing as a Servant,17.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Stealing of Motor Vehicle,971.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Threatening Behaviour (Family),286.0,438507.0,476035.0,37528.0,8.56
Mirrabooka District,16,Threatening Behaviour (Non-Family),162.0,438507.0,476035.0,37528.0,8.56
Perth District,16,Assault Police Officer,156.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Attempted / Conspiracy to Murder,1.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Breach of Family Violence Restraint Order,298.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Breach of Police Order,43.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Breach of Violence Restraint Order,94.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Burglary (Dwelling),1207.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Burglary (Non-Dwelling),773.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Cause Bushfire,0.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Cause Damage by Fire,51.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Common Assault (Family),536.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Common Assault (Non-Family),798.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Criminal Damage,397.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Cultivate or Manufacture Drugs,23.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Damage,1787.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Deprivation of Liberty,16.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Driving Causing Death,1.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Drug Dealing,454.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Drug Possession,1750.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Forgery,18.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Fraud (Credit Card),0.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Fraud (Not Elsewhere Classified),2139.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Graffiti,270.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Kidnapping / Child Stealing,2.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Manslaughter,0.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Murder,2.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Non-Assaultive Sexual Offences,344.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Other Drug Offences,8.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Other Fire Related Offences,0.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Possess Stolen Property,636.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Possess Weapon to Cause Fear (Family),6.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Possess Weapon to Cause Fear (Non-Family),215.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Possession of Drug Paraphernalia,906.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Receiving Stolen Property,39.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Regulated Weapons Offences,339.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Robbery (Business),18.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Robbery (Non-Business),143.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Serious Assault (Family),93.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Serious Assault (Non-Family),586.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Sexual Assault,433.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Stealing (Not Elsewhere Classified),9025.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Stealing From Dwelling,0.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Stealing From Motor Vehicle (Contents or Parts),0.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Stealing From Other Premises or Place,0.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Stealing From Retail Premises (Shoplift),0.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Stealing as a Servant,24.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Stealing of Motor Vehicle,489.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Threatening Behaviour (Family),50.0,228282.0,244721.0,16439.0,7.2
Perth District,16,Threatening Behaviour (Non-Family),97.0,228282.0,244721.0,16439.0,7.2
Pilbara District,16,Assault Police Officer,56.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Attempted / Conspiracy to Murder,0.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Breach of Family Violence Restraint Order,371.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Breach of Police Order,154.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Breach of Violence Restraint Order,48.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Burglary (Dwelling),626.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Burglary (Non-Dwelling),258.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Cause Bushfire,14.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Cause Damage by Fire,44.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Common Assault (Family),836.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Common Assault (Non-Family),242.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Criminal Damage,350.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Cultivate or Manufacture Drugs,13.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Damage,1016.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Deprivation of Liberty,15.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Driving Causing Death,1.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Drug Dealing,58.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Drug Possession,458.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Forgery,9.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Fraud (Credit Card),0.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Fraud (Not Elsewhere Classified),367.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Graffiti,35.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Kidnapping / Child Stealing,1.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Manslaughter,3.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Murder,1.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Non-Assaultive Sexual Offences,340.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Other Drug Offences,9.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Other Fire Related Offences,0.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Possess Stolen Property,90.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Possess Weapon to Cause Fear (Family),34.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Possess Weapon to Cause Fear (Non-Family),61.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Possession of Drug Paraphernalia,311.0,119276.0,124766.0,5490.0,4.6
Pilbara District,16,Receiving Stolen Property,21.0,119276.0,124766.0,5490.0,4.6
