District,Total Persons
Armadale District,578341.0
Cannington District,625913.0
Fremantle District,744304.0
Goldfields-Esperance Region,146444.0
Great Southern District,222989.0
Joondalup District,953314.0
Kimberley District,91507.0
Mandurah District,685810.0
Mid West-Gascoyne District,170683.0
Midland District,686171.0
Mirrabooka District,798898.0
Perth District,377325.0
Pilbara District,172109.0
South West District,488188.0
Wheatbelt District,164210.0
