District,Year,Offence Group,Total Number of Offences,Total Employed,Total Persons,Unemployed,Unemployment Rate (%)
Cannington District,16,Drug Dealing,225.0,341107.0,375806.0,34699.0,10.17
Cannington District,16,Drug Possession,1467.0,341107.0,375806.0,34699.0,10.17
Cannington District,16,Forgery,26.0,341107.0,375806.0,34699.0,10.17
Cannington District,16,Fraud (Credit Card),0.0,341107.0,375806.0,34699.0,10.17
Cannington District,16,Fraud (Not Elsewhere Classified),1951.0,341107.0,375806.0,34699.0,10.17
Cannington District,16,Graffiti,123.0,341107.0,375806.0,34699.0,10.17
Cannington District,16,Kidnapping / Child Stealing,3.0,341107.0,375806.0,34699.0,10.17
Cannington District,16,Manslaughter,2.0,341107.0,375806.0,34699.0,10.17
Cannington District,16,Murder,1.0,341107.0,375806.0,34699.0,10.17
Cannington District,16,Non-Assaultive Sexual Offences,90.0,341107.0,375806.0,34699.0,10.17
Cannington District,16,Other Drug Offences,13.0,341107.0,375806.0,34699.0,10.17
Cannington District,16,Other Fire Related Offences,0.0,341107.0,375806.0,34699.0,10.17
Cannington District,16,Possess Stolen Property,596.0,341107.0,375806.0,34699.0,10.17
Cannington District,16,Possess Weapon to Cause Fear (Family),68.0,341107.0,375806.0,34699.0,10.17
Cannington District,16,Possess Weapon to Cause Fear (Non-Family),241.0,341107.0,375806.0,34699.0,10.17
Cannington District,16,Possession of Drug Paraphernalia,886.0,341107.0,375806.0,34699.0,10.17
Cannington District,16,Receiving Stolen Property,73.0,341107.0,375806.0,34699.0,10.17
Cannington District,16,Regulated Weapons Offences,347.0,341107.0,375806.0,34699.0,10.17
Cannington District,16,Robbery (Business),21.0,341107.0,375806.0,34699.0,10.17
Cannington District,16,Robbery (Non-Business),160.0,341107.0,375806.0,34699.0,10.17
Cannington District,16,Serious Assault (Family),248.0,341107.0,375806.0,34699.0,10.17
Cannington District,16,Serious Assault (Non-Family),304.0,341107.0,375806.0,34699.0,10.17
Cannington District,16,Sexual Assault,276.0,341107.0,375806.0,34699.0,10.17
Cannington District,16,Stealing (Not Elsewhere Classified),11145.0,341107.0,375806.0,34699.0,10.17
Cannington District,16,Stealing From Dwelling,0.0,341107.0,375806.0,34699.0,10.17
Cannington District,16,Stealing From Motor Vehicle (Contents or Parts),0.0,341107.0,375806.0,34699.0,10.17
Cannington District,16,Stealing From Other Premises or Place,0.0,341107.0,375806.0,34699.0,10.17
Cannington District,16,Stealing From Retail Premises (Shoplift),0.0,341107.0,375806.0,34699.0,10.17
Cannington District,16,Stealing as a Servant,20.0,341107.0,375806.0,34699.0,10.17
Cannington District,16,Stealing of Motor Vehicle,1124.0,341107.0,375806.0,34699.0,10.17
Cannington District,16,Threatening Behaviour (Family),179.0,341107.0,375806.0,34699.0,10.17
Cannington District,16,Threatening Behaviour (Non-Family),174.0,341107.0,375806.0,34699.0,10.17
Fremantle District,16,Assault Police Officer,62.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Attempted / Conspiracy to Murder,4.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Breach of Family Violence Restraint Order,412.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Breach of Police Order,101.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Breach of Violence Restraint Order,83.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Burglary (Dwelling),2759.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Burglary (Non-Dwelling),1033.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Cause Bushfire,1.0,441626.0,474743.0,33117.0,7.5
Fremantle District,16,Cause Damage by Fire,71.0,441626.0,474743.0,33117.0,7.5
